排名,标题,分数,播放量,Up主,Up Id,url
1,【 钉 钉 本 钉 ，在 线 求 饶 】,9914750,838.6万,钉钉DingTalk,481393564,https://www.bilibili.com/video/av89441613
2,处 处 零,5221259,197.9万,翘课迟到,232236,https://www.bilibili.com/video/av89558467
3,你 钉 起 来 真 好 听,3880396,301.0万,白夜长路deep丶,270308437,https://www.bilibili.com/video/av88651718
4,赌 怪（完整版）,2977121,124.4万,刘泽秀V,21951780,https://www.bilibili.com/video/av89058944
5,受虐3天！我把史上最难的“自闭”游戏通关了！,2664967,167.4万,东尼ookii,285499073,https://www.bilibili.com/video/av89629873
6,【敖厂长】1989年日本最早生存恐怖游戏 真的很恐怖吗?,2596839,257.5万,敖厂长,122879,https://www.bilibili.com/video/av89685634
7,【周淑怡rap】巴 黎 剩 母,2371497,299.4万,小锅er,121929490,https://www.bilibili.com/video/av89659794
8,【家有儿女】家有骚话！上课？上个屁,2239097,174.0万,红豆稀饭中,250648682,https://www.bilibili.com/video/av89256115
9,10分钟改善斜方肌粗大、溜肩圆肩富贵包、背厚、肩颈背疼痛、高低肩！【周六野Zoey】,2115852,62.6万,周六野Zoey,62540916,https://www.bilibili.com/video/av34107674
10,众所周知  腿越细踢人越疼 鞋跟越高攻击力越高 你们的老婆打架真厉害！,2035466,157.3万,-阿彦-,22858069,https://www.bilibili.com/video/av89273604
11,我们，鬼畜区，向冠状病毒宣战！,2031299,71.8万,无尽の零,305214791,https://www.bilibili.com/video/av86158890
12,来，把你的手放在我的手上,1998894,82.1万,-江小鉴-,53592595,https://www.bilibili.com/video/av89779627
13,【本色出演】津  门  祖  安  出  租  人,1981570,103.5万,善良的诚哥,1835967,https://www.bilibili.com/video/av88994230
14,【超高能rap】胡 言 乱 语 人 民 叫 师,1965679,142.4万,茶咩cc,6054967,https://www.bilibili.com/video/av89364374
15,我 是 坏 女 人,1806565,81.0万,尤超白,383444910,https://www.bilibili.com/video/av89595901
16,我拒绝了两百万口罩生意,1805924,158.2万,纳豆奶奶,6574487,https://www.bilibili.com/video/av89348202
17,女团腿 去头尾 自用,1668361,62.6万,木马唧唧,248404676,https://www.bilibili.com/video/av70455264
